Země,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
Albánie,21,15,15,2,0,0,2,0,0,0,1,0,1,0,0,2,0,0,2,0,0,0,2,0,0,0,0,3,0
Belgie,988,833,830,71,0,0,67,0,71,8,60,1,8,0,1,109,0,0,294,39,0,0,79,0,3,0,0,18,1
Bělorusko,23,20,20,4,0,0,3,0,0,0,1,0,0,0,0,2,0,0,2,7,0,0,1,0,0,0,0,0,0
Bosna a Hercegovina,25,25,25,4,0,0,2,0,1,0,4,0,1,0,0,3,0,0,5,0,0,0,5,0,0,0,0,0,0
Bulharsko,104,68,68,10,0,0,3,0,5,0,3,0,1,1,0,15,0,0,14,7,0,1,7,0,0,0,0,1,0
Černá Hora,29,18,17,5,0,0,2,0,0,0,0,1,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0
Dánsko,240,151,151,13,1,0,3,0,12,1,11,0,2,0,0,52,0,0,35,9,0,0,6,0,5,0,0,1,0
Estonsko,41,36,36,2,0,0,3,0,2,1,1,0,0,0,0,11,0,0,8,1,0,0,6,0,0,0,0,1,0
Finsko,156,122,122,6,0,0,1,0,17,0,16,0,4,0,0,38,0,0,26,6,0,0,3,0,2,0,0,3,0
Francie,639,389,382,35,0,0,15,0,24,3,33,0,5,1,0,88,0,0,113,17,0,0,34,0,2,1,0,10,1
Chorvatsko,63,56,56,14,0,0,5,0,2,1,2,0,0,0,0,10,0,0,17,3,0,0,2,0,0,0,0,0,0
Irsko,260,170,170,24,0,0,4,0,16,2,13,0,8,0,0,39,0,0,37,8,0,0,4,0,3,1,0,11,0
Itálie,355,295,295,51,0,0,6,0,29,3,11,0,5,0,1,48,0,0,85,8,0,0,35,0,0,0,0,12,1
Litva,37,36,36,5,0,0,1,0,11,0,1,0,1,0,0,5,0,0,3,6,0,0,2,0,0,0,0,1,0
Lotyšsko,31,27,27,3,0,0,4,0,2,2,1,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,4,0
Lucembursko,266,222,222,22,0,1,14,1,17,1,16,0,5,0,0,30,0,0,69,15,0,0,22,0,2,0,0,7,0
Maďarsko,243,224,224,53,0,0,10,0,16,1,4,1,4,1,0,53,0,0,45,12,0,0,12,0,6,0,0,6,0
